LocationID,Borough,Zone,service_zone,NTA Code,Boro Name,Boro CD,Total Population,#Population +65 Years,%Population +65 Years,% 65+ Below Poverty,% Hispanic/Latino,% White,% African American,% Asian,% Other
101,Queens,Glen Oaks,Boro Zone,QN44,Queens,413,"24,365","6,321",25.9,8,10.6,40.2,5.4,40.5,3.3%
102,Queens,Glendale,Boro Zone,QN19,Queens,405,"35,576","4,865",13.7,10.6,37.8,55.5,1.4,4.3,1.1%
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,,,,,,,,,,,,
104,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,,,,,,,,,,,,
105,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,,,,,,,,,,,,
106,Brooklyn,Gowanus,Boro Zone,BK37,Brooklyn,306,"74,731","7,528",10.1,9.5,15.8,66.9,4.5,7.6,5.2%
107,Manhattan,Gramercy,Yellow Zone,MN21,Manhatta,106,"26,928","3,283",12.2,6.7,7.7,70.6,3.9,15.4,2.5%
108,Brooklyn,Gravesend,Boro Zone,BK26,Brooklyn,313,"30,587","5,645",18.5,22.1,20.9,44.2,7.5,23.3,4.1%
109,Staten Island,Great Kills,Boro Zone,SI54,Staten Isla,503,"42,306","7,499",17.7,10.7,9.4,83.5,0.9,5.2,0.9%
110,Staten Island,Great Kills Park,Boro Zone,,,,,,,,,,,,
111,Brooklyn,Green-Wood Cemetery,Boro Zone,,,,,,,,,,,,
112,Brooklyn,Greenpoint,Boro Zone,BK76,Brooklyn,301,"33,918","3,701",10.9,21.9,14.2,74.3,3,4.9,3.6%
113,Manhattan,Greenwich Village North,Yellow Zone,MN23,Manhatta,102,"66,258","10,866",16.4,8.4,6,80,2.1,8.5,3.4%
114,Manhattan,Greenwich Village South,Yellow Zone,MN23,Manhatta,102,"66,258","10,866",16.4,8.4,6,80,2.1,8.5,3.4%
115,Staten Island,Grymes Hill/Clifton,Boro Zone,SI08,Staten Isla,501,"21,707","2,538",11.7,22.8,27.6,27.4,32.2,11,1.8%
116,Manhattan,Hamilton Heights,Boro Zone,MN04,Manhatta,109,"52,700","5,565",10.6,26.1,48.3,18.2,25.8,3.4,4.2%
117,Queens,Hammels/Arverne,Boro Zone,QN12,Queens,414,"41,470","4,836",11.7,15,28.3,16.1,47.1,5.1,3.5%
118,Staten Island,Heartland Village/Todt Hill,Boro Zone,SI24,Staten Isla,502,"32,348","6,313",19.5,8.8,10.2,71.2,2.3,14.6,1.7%
119,Bronx,Highbridge,Boro Zone,BX26,Bronx,204,"39,140","3,309",8.5,40.6,64.3,2.5,32.1,0.5,0.7%
120,Manhattan,Highbridge Park,Boro Zone,,,,,,,,,,,,
121,Queens,Hillcrest/Pomonok,Boro Zone,QN38,Queens,408,"36,975","4,874",13.2,14.2,24.1,30.3,11.4,31.2,3.1%
122,Queens,Hollis,Boro Zone,QN07,Queens,412,"21,448","2,994",14,7.3,10.3,2.4,63.8,14.8,8.7%
123,Brooklyn,Homecrest,Boro Zone,BK25,Brooklyn,315,"45,007","6,943",15.4,23.5,11.8,72.8,1.9,9.8,3.7%
124,Queens,Howard Beach,Boro Zone,QN57,Queens,410,"29,219","6,420",22,9.8,22.3,67.8,1.8,5,3.0%
125,Manhattan,Hudson Sq,Yellow Zone,MN24,Manhatta,101,"42,698","5,688",13.3,14.4,6.3,66.2,2.2,21.5,3.8%
126,Bronx,Hunts Point,Boro Zone,BX27,Bronx,202,"26,196","2,551",9.7,45.1,70.7,1.7,26.5,0.4,0.7%
127,Manhattan,Inwood,Boro Zone,MN01,Manhatta,112,"52,922","7,057",13.3,24.8,71.5,16.8,7.4,2.6,1.8%
128,Manhattan,Inwood Hill Park,Boro Zone,,,,,,,,,,,,
129,Queens,Jackson Heights,Boro Zone,QN28,Queens,403,"98,728","15,448",15.6,17.2,56,16.6,2.6,22.9,1.9%
130,Queens,Jamaica,Boro Zone,QN61,Queens,412,"53,932","6,401",11.9,18.1,35.2,3.3,15.7,34.7,11.0%
131,Queens,Jamaica Estates,Boro Zone,QN06,Queens,408,"26,517","4,685",17.7,9.8,15.4,22.3,24.7,32.5,5.2%
132,Queens,JFK Airport,Airports,,,,,,,,,,,,
133,Brooklyn,Kensington,Boro Zone,BK41,Brooklyn,312,"35,510","4,661",13.1,21.9,16.8,47.8,5.7,24.3,5.3%
134,Queens,Kew Gardens,Boro Zone,QN60,Queens,409,"23,166","3,700",16,17.5,26.2,45.9,5.1,18,4.8%
135,Queens,Kew Gardens Hills,Boro Zone,QN37,Queens,408,"37,584","5,703",15.2,10.1,15,51.5,6.6,23.9,3.0%
136,Bronx,Kingsbridge Heights,Boro Zone,BX30,Bronx,207,"32,163","3,888",12.1,34.9,75.7,3.5,15.6,2.3,2.9%
137,Manhattan,Kips Bay,Yellow Zone,MN20,Manhatta,106,"47,775","7,393",15.5,13.6,9.2,62.5,4.6,19.8,3.9%
138,Queens,LaGuardia Airport,Airports,,,,,,,,,,,,
139,Queens,Laurelton,Boro Zone,QN66,Queens,413,"26,544","4,659",17.6,5.8,5.7,1.2,89.7,0.7,2.7%
140,Manhattan,Lenox Hill East,Yellow Zone,MN31,Manhatta,108,"81,559","14,261",17.5,5.8,10.7,70,3.2,13.5,2.6%
141,Manhattan,Lenox Hill West,Yellow Zone,MN31,Manhatta,108,"81,559","14,261",17.5,5.8,10.7,70,3.2,13.5,2.6%
142,Manhattan,Lincoln Square East,Yellow Zone,MN14,Manhatta,107,"62,685","13,254",21.1,8.4,10.4,69.4,4.2,13,3.0%
143,Manhattan,Lincoln Square West,Yellow Zone,MN14,Manhatta,107,"62,685","13,254",21.1,8.4,10.4,69.4,4.2,13,3.0%
144,Manhattan,Little Italy/NoLiTa,Yellow Zone,MN24,Manhatta,101,"42,698","5,688",13.3,14.4,6.3,66.2,2.2,21.5,3.8%
145,Queens,Long Island City/Hunters Point,Boro Zone,QN31,Queens,402,"69,295","6,837",9.9,10,31.9,38.5,2.2,24.5,3.0%
146,Queens,Long Island City/Queens Plaza,Boro Zone,QN68,Queens,401,"19,228","2,184",11.4,36.2,34.5,15.5,25,21,4.0%
147,Bronx,Longwood,Boro Zone,BX33,Bronx,202,"27,864","2,536",9.1,42.8,69.9,1.7,25.7,1.5,1.1%
148,Manhattan,Lower East Side,Yellow Zone,MN27,Manhatta,103,"44,062","9,648",21.9,38.8,15.2,18.3,5.3,57.7,3.4%
149,Brooklyn,Madison,Boro Zone,BK44,Brooklyn,315,"40,958","7,386",18,19.1,8.9,62.7,2.7,22.5,3.3%
150,Brooklyn,Manhattan Beach,Boro Zone,BK17,Brooklyn,315,"65,631","13,375",20.4,18.7,9.2,62.4,6.5,19.8,2.2%
151,Manhattan,Manhattan Valley,Yellow Zone,MN12,Manhatta,107,"132,455","26,884",20.3,11.7,16.6,67.3,5.9,7.3,2.8%
152,Manhattan,Manhattanville,Boro Zone,MN06,Manhatta,109,"23,673","2,719",11.5,35.2,52.5,11.1,29.2,5.4,1.7%
153,Manhattan,Marble Hill,Boro Zone,MN01,Manhatta,112,"52,922","7,057",13.3,24.8,71.5,16.8,7.4,2.6,1.8%
154,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone,,,,,,,,,,,,
155,Brooklyn,Marine Park/Mill Basin,Boro Zone,BK45,Brooklyn,318,"47,726","8,376",17.6,6.2,10.2,66.2,12.9,9,1.7%
156,Staten Island,Mariners Harbor,Boro Zone,SI12,Staten Isla,501,"31,907","3,169",9.9,21.6,37.3,21.6,28.5,10.1,2.5%
157,Queens,Maspeth,Boro Zone,QN30,Queens,405,"32,179","4,094",12.7,11.7,30.9,53.1,1.5,12.4,2.1%
158,Manhattan,Meatpacking/West Village West,Yellow Zone,MN23,Manhatta,102,"66,258","10,866",16.4,8.4,6,80,2.1,8.5,3.4%
159,Bronx,Melrose South,Boro Zone,BX34,Bronx,201,"42,882","4,062",9.5,40.1,65.6,1.7,30.4,0.6,1.7%
160,Queens,Middle Village,Boro Zone,QN21,Queens,405,"40,435","7,253",17.9,7.9,20.1,67.1,0.8,10.2,1.8%
161,Manhattan,Midtown Center,Yellow Zone,MN17,Manhatta,105,"27,875","4,011",14.4,15.1,9.8,61.5,4.5,20.8,3.3%
162,Manhattan,Midtown East,Yellow Zone,MN19,Manhatta,106,"50,180","12,558",25,5.2,4.9,75.1,1.4,16.2,2.5%
163,Manhattan,Midtown North,Yellow Zone,MN17,Manhatta,105,"27,875","4,011",14.4,15.1,9.8,61.5,4.5,20.8,3.3%
164,Manhattan,Midtown South,Yellow Zone,MN17,Manhatta,105,"27,875","4,011",14.4,15.1,9.8,61.5,4.5,20.8,3.3%
165,Brooklyn,Midwood,Boro Zone,BK43,Brooklyn,314,"54,637","8,741",16,24.5,7.6,73.6,4.6,11.8,2.4%
166,Manhattan,Morningside Heights,Boro Zone,MN09,Manhatta,109,"53,094","7,812",14.7,17,23.2,44.4,13.8,15.5,3.1%
167,Bronx,Morrisania/Melrose,Boro Zone,BX35,Bronx,203,"40,925","3,621",8.8,31.8,58.3,1.2,38.2,1,1.4%
168,Bronx,Mott Haven/Port Morris,Boro Zone,BX39,Bronx,201,"54,163","4,708",8.7,46.6,68.8,1.9,28,0.4,0.9%
169,Bronx,Mount Hope,Boro Zone,BX41,Bronx,205,"53,198","4,661",8.8,36.6,69,1.3,26.4,1.4,1.8%
170,Manhattan,Murray Hill,Yellow Zone,MN20,Manhatta,106,"47,775","7,393",15.5,13.6,9.2,62.5,4.6,19.8,3.9%
171,Queens,Murray Hill-Queens,Boro Zone,QN51,Queens,407,"50,231","9,834",19.6,20.3,15.8,23.7,1.7,56.8,2.1%
172,Staten Island,New Dorp/Midland Beach,Boro Zone,SI45,Staten Isla,502,"20,933","3,205",15.3,7.4,15.1,73.9,3.5,6.7,0.8%
173,Queens,North Corona,Boro Zone,QN26,Queens,403,"54,146","3,626",6.7,19.9,88,1.1,3.2,7,0.6%
174,Bronx,Norwood,Boro Zone,BX43,Bronx,207,"42,227","3,855",9.1,29.9,63.5,9.7,13.5,10.7,2.5%
175,Queens,Oakland Gardens,Boro Zone,QN42,Queens,411,"30,316","5,444",18,10.3,9.9,37.7,2.6,46.9,2.9%
176,Staten Island,Oakwood,Boro Zone,SI25,Staten Isla,503,"20,509","4,136",20.2,11.2,14.4,76.7,2,4.2,2.7%
177,Brooklyn,Ocean Hill,Boro Zone,BK79,Brooklyn,316,"35,818","4,023",11.2,28.3,21,5.7,70.8,1.4,1.0%
178,Brooklyn,Ocean Parkway South,Boro Zone,BK46,Brooklyn,312,"20,684","3,282",15.9,16.9,8,83.5,1.2,4.1,3.1%
179,Queens,Old Astoria,Boro Zone,QN71,Queens,401,"24,732","3,123",12.6,19.1,32.5,39.4,9.8,15.6,2.7%
180,Queens,Ozone Park,Boro Zone,QN56,Queens,410,"24,511","2,748",11.2,9.9,42.5,21.5,5.3,24.9,5.8%
181,Brooklyn,Park Slope,Boro Zone,BK37,Brooklyn,306,"74,731","7,528",10.1,9.5,15.8,66.9,4.5,7.6,5.2%
182,Bronx,Parkchester,Boro Zone,BX46,Bronx,209,"30,372","3,562",11.7,15.7,38.2,2,40.3,16.2,3.3%
183,Bronx,Pelham Bay,Boro Zone,BX10,Bronx,210,"26,877","5,375",20,12.2,41.4,49.4,4.3,3.7,1.1%
184,Bronx,Pelham Bay Park,Boro Zone,,,,,,,,,,,,
185,Bronx,Pelham Parkway,Boro Zone,BX49,Bronx,211,"28,913","4,211",14.6,13.1,43.4,30.7,13.9,10,1.9%
186,Manhattan,Penn Station/Madison Sq West,Yellow Zone,MN17,Manhatta,105,"27,875","4,011",14.4,15.1,9.8,61.5,4.5,20.8,3.3%
187,Staten Island,Port Richmond,Boro Zone,SI28,Staten Isla,501,"19,545","2,228",11.4,10.1,38.3,37,16.5,6.7,1.5%
188,Brooklyn,Prospect-Lefferts Gardens,Boro Zone,BK60,Brooklyn,309,"69,111","10,130",14.7,21.3,9.6,17,68.4,2.3,2.7%
189,Brooklyn,Prospect Heights,Boro Zone,BK64,Brooklyn,308,"21,237","2,482",11.7,12.9,10.1,50.8,24.6,7.9,6.6%
190,Brooklyn,Prospect Park,Boro Zone,,,,,,,,,,,,
191,Queens,Queens Village,Boro Zone,QN34,Queens,413,"54,256","8,071",14.9,9.4,18.5,5.6,47.7,15.3,12.8%
192,Queens,Queensboro Hill,Boro Zone,QN62,Queens,407,"20,269","2,925",14.4,17.7,16.8,12.3,1.4,67.7,1.7%
193,Queens,Queensbridge/Ravenswood,Boro Zone,QN68,Queens,401,"19,228","2,184",11.4,36.2,34.5,15.5,25,21,4.0%
194,Manhattan,Randalls Island,Yellow Zone,,,,,,,,,,,,
195,Brooklyn,Red Hook,Boro Zone,BK33,Brooklyn,306,"43,766","4,815",11,23.8,17.3,59.3,11.9,5.9,5.7%
196,Queens,Rego Park,Boro Zone,QN18,Queens,406,"27,739","6,120",22.1,15.7,14.9,40.5,5.2,36.8,2.5%
197,Queens,Richmond Hill,Boro Zone,QN54,Queens,409,"65,068","7,125",11,13.9,36.6,10.5,7.9,31.5,13.5%
198,Queens,Ridgewood,Boro Zone,QN20,Queens,405,"75,437","6,591",8.7,10.4,47.6,41.2,1.7,7.8,1.7%
199,Bronx,Rikers Island,Boro Zone,BX98,Bronx,401,"7,080",51,0.7,,32.9,7.6,56.3,1.8,1.5%
200,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone,BX22,Bronx,208,"27,551","7,066",25.6,9.8,21.6,61.8,8.9,5.1,2.6%
201,Queens,Rockaway Park,Boro Zone,QN10,Queens,414,"27,894","5,585",20,11.2,13.6,75.6,5.8,2.8,2.2%
202,Manhattan,Roosevelt Island,Boro Zone,MN31,Manhatta,108,"81,559","14,261",17.5,5.8,10.7,70,3.2,13.5,2.6%
203,Queens,Rosedale,Boro Zone,QN05,Queens,413,"26,117","3,284",12.6,7.9,10.3,3.4,81.1,2.2,3.0%
204,Staten Island,Rossville/Woodrow,Boro Zone,SI32,Staten Isla,503,"22,197","3,961",17.8,12.2,8.5,86.1,0.1,3.6,1.7%
205,Queens,Saint Albans,Boro Zone,QN08,Queens,412,"53,134","7,772",14.6,9.9,5.6,1.3,88.1,2.2,2.8%
